,id,keywords
56,28093,"[{'id': 1316, 'name': 'captain'}, {'id': 3930, 'name': 'bravery'}, {'id': 1956, 'name': 'world war ii'}, {'id': 2532, 'name': 'bomber'}, {'id': 9672, 'name': 'based on true story'}, {'id': 8468, 'name': 'crew'}, {'id': 2365, 'name': 'crete'}, {'id': 9335, 'name': 'royal navy'}, {'id': 10026, 'name': 'harbor'}, {'id': 41599, 'name': 'sailor'}, {'id': 160860, 'name': 'battleship'}, {'id': 163000, 'name': 'lifeboat'}, {'id': 180178, 'name': 'destroyer'}, {'id': 182677, 'name': 'sea battle'}, {'id': 195862, 'name': 'naval warfare'}, {'id': 197413, 'name': 'dunkirk'}, {'id': 226475, 'name': 'naval battle'}, {'id': 237787, 'name': 'britannia'}]"
57,108220,"[{'id': 3588, 'name': 'navy'}, {'id': 5369, 'name': 'guard'}, {'id': 4344, 'name': 'musical'}, {'id': 12396, 'name': 'hollywood'}]"
58,30506,"[{'id': 7376, 'name': 'princess'}, {'id': 3799, 'name': 'ship'}, {'id': 11088, 'name': 'treasure map'}, {'id': 12988, 'name': 'pirate'}, {'id': 157186, 'name': 'swashbuckler'}, {'id': 189108, 'name': 'buried treasure'}, {'id': 191585, 'name': 'high seas'}]"
59,13321,"[{'id': 658, 'name': 'sea'}, {'id': 736, 'name': 'journalist'}, {'id': 339, 'name': 'submarine'}, {'id': 1422, 'name': 'boat'}, {'id': 1956, 'name': 'world war ii'}, {'id': 12999, 'name': 'black and white'}, {'id': 163000, 'name': 'lifeboat'}, {'id': 167700, 'name': 'steward'}, {'id': 188766, 'name': 'radio operator'}]"
60,18770,"[{'id': 3269, 'name': 'secret mission'}, {'id': 1956, 'name': 'world war ii'}, {'id': 9683, 'name': 'lieutenant'}, {'id': 12369, 'name': 'tokyo, japan'}, {'id': 160377, 'name': 'bomber pilot'}, {'id': 181325, 'name': 'dangerous mission'}, {'id': 188727, 'name': 'imperial japan'}, {'id': 193933, 'name': 'comradeship'}, {'id': 309097, 'name': 'expectant parents'}, {'id': 315256, 'name': 'pensacola, florida'}, {'id': 323344, 'name': 'u.s. army air corpsmen'}, {'id': 329294, 'name': 'b25 bomber'}]"
61,16373,"[{'id': 380, 'name': 'sibling relationship'}, {'id': 813, 'name': 'sunrise'}, {'id': 818, 'name': 'based on novel or book'}, {'id': 977, 'name': 'cat'}, {'id': 1792, 'name': 'cliff'}, {'id': 3358, 'name': 'haunted house'}, {'id': 6625, 'name': 'family secrets'}, {'id': 8079, 'name': 'cornwall, england'}, {'id': 9833, 'name': 'lesbian relationship'}, {'id': 10164, 'name': 'apparition'}, {'id': 10414, 'name': 'trance'}, {'id': 12544, 'name': 'crying'}, {'id': 13005, 'name': 'doctor'}, {'id': 13153, 'name': 'spirit'}, {'id': 15162, 'name': 'dog'}, {'id': 15346, 'name': 'old dark house'}, {'id': 17997, 'name': 'housekeeper'}, {'id': 33505, 'name': 'gothic'}, {'id': 41410, 'name': 'madness'}, {'id': 41411, 'name': 'vengeful ghost'}, {'id': 155733, 'name': 'old house'}, {'id': 162846, 'name': 'ghost'}, {'id': 163186, 'name': 'séance'}, {'id': 240485, 'name': 'brother sister relationship'}, {'id': 268054, 'name': 'night'}, {'id': 287591, 'name': 'grandfather granddaughter relationship'}, {'id': 288394, 'name': 'suspense'}]"
62,52440,"[{'id': 212, 'name': 'london, england'}, {'id': 428, 'name': 'nurse'}, {'id': 5300, 'name': 'allies'}, {'id': 11612, 'name': 'hospital'}]"
63,218105,"[{'id': 1447, 'name': 'indiana, usa'}, {'id': 2673, 'name': 'horse'}, {'id': 6464, 'name': 'uncle'}, {'id': 6894, 'name': 'aunt'}]"
64,909,"[{'id': 65, 'name': 'holiday'}, {'id': 4344, 'name': 'musical'}, {'id': 5923, 'name': 'sister'}, {'id': 10235, 'name': 'family relationships'}, {'id': 155428, 'name': 'trolley'}, {'id': 165503, 'name': 'boy next door'}, {'id': 165508, 'name': 'americana'}, {'id': 165518, 'name': 'fiddle'}, {'id': 165531, 'name': 'straw hat'}, {'id': 167951, 'name': 'st. louis, missouri'}, {'id': 207317, 'name': 'christmas'}, {'id': 225827, 'name': ""world's fair""}, {'id': 236170, 'name': '1900s'}, {'id': 272698, 'name': 'christmas romance'}]"
65,26530,"[{'id': 3800, 'name': 'airplane'}, {'id': 9856, 'name': 'flashback'}, {'id': 9807, 'name': 'film noir'}, {'id': 9826, 'name': 'murder'}, {'id': 12193, 'name': 'reporter'}, {'id': 157008, 'name': 'catholic church'}]"
