,year_film,year_award,ceremony,category,nominee,film,win,tmdb_id
2055,1980,1981,38,BEST SCORE,John Barry,Somewhere in Time,False,16633.0
2056,1980,1981,38,BEST SCORE,John Williams,Star Wars: Episode V - The Empire Strikes Back,False,1891.0
2057,1980,1981,38,BEST SONG,"Fame, Michael Gore, Dean Pitchford",Fame,True,3537.0
2058,1980,1981,38,BEST SONG,"Call Me, Giorgio Moroder, Debbie Harry, Blondie",American Gigolo,False,2768.0
2059,1980,1981,38,BEST SONG,"Love on the Rocks, Neil Diamond, Gilbert Bécaud","Jazz Singer, The",False,15310.0
2060,1980,1981,38,BEST SONG,"Nine to Five, Dolly Parton",Nine to Five,False,19494.0
2061,1980,1981,38,BEST SONG,"Yesterday's Dreams, Michel Legrand, Carol Connors, Johnny Mathis",Falling In Love Again,False,66597.0
2062,1980,1981,38,BEST SONG,"Endless Love, Lionel Richie, Diana Ross",Endless Love,False,953772.0
2063,1980,1981,38,SPECIAL AWARD,Gene Kelly,,False,
2064,1981,1982,39,BEST PICTURE (DRAMA),On Golden Pond,On Golden Pond,True,11816.0
2065,1981,1982,39,BEST PICTURE (DRAMA),"French Lieutenant's Woman, The","French Lieutenant's Woman, The",False,12537.0
2066,1981,1982,39,BEST PICTURE (DRAMA),Prince of the City,Prince of the City,False,32047.0
2067,1981,1982,39,BEST PICTURE (DRAMA),Ragtime,Ragtime,False,25566.0
2068,1981,1982,39,BEST PICTURE (DRAMA),Reds,Reds,False,18254.0
2069,1981,1982,39,BEST PICTURE (COM),Arthur,Arthur,True,13665.0
2070,1981,1982,39,BEST PICTURE (COM),Pennies from Heaven,Pennies from Heaven,False,17450.0
2071,1981,1982,39,BEST PICTURE (COM),S. O. B.,S. O. B.,False,27225.0
2072,1981,1982,39,BEST PICTURE (COM),Zoot Suit,Zoot Suit,False,76397.0
2073,1981,1982,39,BEST PICTURE (COM),"Four Seasons, The","Four Seasons, The",False,25113.0
2074,1981,1982,39,ACTRESS (DRAMA),Meryl Streep,"French Lieutenant's Woman, The",True,12537.0
2075,1981,1982,39,ACTRESS (DRAMA),Katharine Hepburn,On Golden Pond,False,11816.0
2076,1981,1982,39,ACTRESS (DRAMA),Diane Keaton,Reds,False,18254.0
2077,1981,1982,39,ACTRESS (DRAMA),Sissy Spacek,Raggedy Man,False,96966.0
2078,1981,1982,39,ACTRESS (DRAMA),Sally Field,Absence of Malice,False,19429.0
2079,1981,1982,39,ACTOR (DRAMA),Henry Fonda,On Golden Pond,True,11816.0
2080,1981,1982,39,ACTOR (DRAMA),Warren Beatty,Reds,False,18254.0
2081,1981,1982,39,ACTOR (DRAMA),Timothy Hutton,Taps,False,10627.0
2082,1981,1982,39,ACTOR (DRAMA),Burt Lancaster,Atlantic City,False,23954.0
2083,1981,1982,39,ACTOR (DRAMA),Treat Williams,Prince of the City,False,32047.0
2084,1981,1982,39,ACTRESS (COM),Bernadette Peters,Pennies from Heaven,True,17450.0
2085,1981,1982,39,ACTRESS (COM),Blair Brown,Continental Divide,False,26560.0
2086,1981,1982,39,ACTRESS (COM),Carol Burnett,"Four Seasons, The",False,25113.0
2087,1981,1982,39,ACTRESS (COM),Jill Clayburgh,First Monday in October,False,85058.0
2088,1981,1982,39,ACTRESS (COM),Liza Minnelli,Arthur,False,13665.0
2089,1981,1982,39,ACTOR (COM),Dudley Moore,Arthur,True,13665.0
2090,1981,1982,39,ACTOR (COM),Walter Matthau,First Monday in October,False,85058.0
2091,1981,1982,39,ACTOR (COM),Alan Alda,"Four Seasons, The",False,25113.0
2092,1981,1982,39,ACTOR (COM),George Hamilton,"Zorro, The Gay Blade",False,19317.0
2093,1981,1982,39,ACTOR (COM),Steve Martin,Pennies from Heaven,False,17450.0
2094,1981,1982,39,ACTRESS IN A SUPPORTING ROLE,Joan Hackett,Only When I Laugh,True,42146.0
2095,1981,1982,39,ACTRESS IN A SUPPORTING ROLE,Jane Fonda,On Golden Pond,False,11816.0
2096,1981,1982,39,ACTRESS IN A SUPPORTING ROLE,Kristy McNichol,Only When I Laugh,False,42146.0
2097,1981,1982,39,ACTRESS IN A SUPPORTING ROLE,Maureen Stapleton,Reds,False,18254.0
2098,1981,1982,39,ACTRESS IN A SUPPORTING ROLE,Mary Steenburgen,Ragtime,False,25566.0
2099,1981,1982,39,ACTOR IN A SUPPORTING ROLE,John Gielgud,Arthur,True,13665.0
2100,1981,1982,39,ACTOR IN A SUPPORTING ROLE,James Coco,Only When I Laugh,False,42146.0
2101,1981,1982,39,ACTOR IN A SUPPORTING ROLE,Jack Nicholson,Reds,False,18254.0
2102,1981,1982,39,ACTOR IN A SUPPORTING ROLE,Howard E. Rollins Jr.,Ragtime,False,25566.0
2103,1981,1982,39,ACTOR IN A SUPPORTING ROLE,Orson Welles,Butterfly,False,438256.0
2104,1981,1982,39,DIRECTING,Warren Beatty,Reds,True,18254.0
2105,1981,1982,39,DIRECTING,Mark Rydell,On Golden Pond,False,11816.0
2106,1981,1982,39,DIRECTING,Steven Spielberg,Raiders of the Lost Ark,False,85.0
2107,1981,1982,39,DIRECTING,Milos Forman,Ragtime,False,25566.0
2108,1981,1982,39,DIRECTING,Sidney Lumet,Prince of the City,False,32047.0
2109,1981,1982,39,DIRECTING,Louis Malle,Atlantic City,False,23954.0
2110,1981,1982,39,BEST SCREENPLAY,Ernest Thompson,On Golden Pond,True,11816.0
2111,1981,1982,39,BEST SCREENPLAY,Warren Beatty,Reds,False,18254.0
2112,1981,1982,39,BEST SCREENPLAY,Kurt Luedtke,Absence of Malice,False,19429.0
2113,1981,1982,39,BEST SCREENPLAY,Alan Alda,"Four Seasons, The",False,25113.0
2114,1981,1982,39,BEST SCREENPLAY,Harold Pinter,"French Lieutenant's Woman, The",False,12537.0
2115,1981,1982,39,FOREIGN,Chariots of Fire,Chariots of Fire,True,9443.0
2116,1981,1982,39,FOREIGN,Atlantic City,Atlantic City,False,23954.0
2117,1981,1982,39,FOREIGN,Das Boot,Das Boot,False,387.0
2118,1981,1982,39,FOREIGN,Gallipoli,Gallipoli,False,11646.0
2119,1981,1982,39,FOREIGN,Pixote,Pixote,False,42148.0
2120,1981,1982,39,BEST SONG,"Arthur's Theme (Best That You Can Do), Carole Bayer Sager, Burt Bacharach, Peter Allen",Arthur,True,13665.0
2121,1981,1982,39,BEST SONG,"For Your Eyes Only, Bill Conti, Mick Leeson, Sheena Easton",For Your Eyes Only,False,699.0
2122,1981,1982,39,BEST SONG,"It's Wrong For Me To Love You, Ennio Morricone, Carol Connors, Pia Zadora",Butterfly,False,438256.0
2123,1981,1982,39,BEST SONG,"One More Hour, Randy Newman, Jennifer Warnes",Ragtime,False,25566.0
2124,1981,1982,39,SPECIAL AWARD,Sidney Poitier,,False,
2125,1981,1982,39,SPECIAL AWARD,Pia Zadora,Butterfly,True,438256.0
2126,1981,1982,39,SPECIAL AWARD,Rachel Ward,Sharky's Machine,False,14664.0
2127,1981,1982,39,SPECIAL AWARD,Craig Wasson,Four Friends,False,70971.0
2128,1981,1982,39,SPECIAL AWARD,Elizabeth McGovern,Ragtime,False,25566.0
2129,1981,1982,39,SPECIAL AWARD,Howard E. Rollins Jr.,Ragtime,False,25566.0
2130,1981,1982,39,SPECIAL AWARD,Kathleen Turner,Body Heat,False,14412.0
2131,1982,1983,40,BEST PICTURE (DRAMA),E. T. The Extra-Terrestrial,E. T. The Extra-Terrestrial,True,601.0
2132,1982,1983,40,BEST PICTURE (DRAMA),Missing,Missing,False,15600.0
2133,1982,1983,40,BEST PICTURE (DRAMA),"Officer and a Gentleman, An","Officer and a Gentleman, An",False,2623.0
2134,1982,1983,40,BEST PICTURE (DRAMA),Sophie's Choice,Sophie's Choice,False,15764.0
2135,1982,1983,40,BEST PICTURE (DRAMA),"Verdict, The","Verdict, The",False,24226.0
2136,1982,1983,40,BEST PICTURE (COM),Tootsie,Tootsie,True,9576.0
2137,1982,1983,40,BEST PICTURE (COM),"Best Little Whorehouse In Texas, The","Best Little Whorehouse In Texas, The",False,16363.0
2138,1982,1983,40,BEST PICTURE (COM),Diner,Diner,False,13776.0
2139,1982,1983,40,BEST PICTURE (COM),My Favorite Year,My Favorite Year,False,31044.0
2140,1982,1983,40,BEST PICTURE (COM),Victor Victoria,Victor Victoria,False,12614.0
2141,1982,1983,40,ACTRESS (DRAMA),Meryl Streep,Sophie's Choice,True,15764.0
2142,1982,1983,40,ACTRESS (DRAMA),Debra Winger,"Officer and a Gentleman, An",False,2623.0
2143,1982,1983,40,ACTRESS (DRAMA),Diane Keaton,Shoot The Moon,False,52772.0
2144,1982,1983,40,ACTRESS (DRAMA),Jessica Lange,Frances,False,3526.0
2145,1982,1983,40,ACTRESS (DRAMA),Sissy Spacek,Missing,False,15600.0
2146,1982,1983,40,ACTOR (DRAMA),Ben Kingsley,Gandhi,True,783.0
2147,1982,1983,40,ACTOR (DRAMA),Albert Finney,Shoot The Moon,False,52772.0
2148,1982,1983,40,ACTOR (DRAMA),Richard Gere,"Officer and a Gentleman, An",False,2623.0
2149,1982,1983,40,ACTOR (DRAMA),Jack Lemmon,Missing,False,15600.0
2150,1982,1983,40,ACTOR (DRAMA),Paul Newman,"Verdict, The",False,24226.0
2151,1982,1983,40,ACTRESS (COM),Julie Andrews,Victor Victoria,True,12614.0
2152,1982,1983,40,ACTRESS (COM),Carol Burnett,Annie,False,15739.0
2153,1982,1983,40,ACTRESS (COM),Sally Field,Kiss Me Goodbye,False,81001.0
2154,1982,1983,40,ACTRESS (COM),Goldie Hawn,Best Friends,False,45840.0
2155,1982,1983,40,ACTRESS (COM),Dolly Parton,"Best Little Whorehouse In Texas, The",False,16363.0
2156,1982,1983,40,ACTRESS (COM),Aileen Quinn,Annie,False,15739.0
2157,1982,1983,40,ACTOR (COM),Dustin Hoffman,Tootsie,True,9576.0
2158,1982,1983,40,ACTOR (COM),Peter O'Toole,My Favorite Year,False,31044.0
2159,1982,1983,40,ACTOR (COM),Al Pacino,Author! Author!,False,41760.0
2160,1982,1983,40,ACTOR (COM),Robert Preston,Victor Victoria,False,12614.0
2161,1982,1983,40,ACTOR (COM),Henry Winkler,Night Shift,False,14742.0
2162,1982,1983,40,ACTRESS IN A SUPPORTING ROLE,Jessica Lange,Tootsie,True,9576.0
2163,1982,1983,40,ACTRESS IN A SUPPORTING ROLE,Cher,"Come Back To The Five and Dime, Jimmy Dean, Jimmy Dean",False,67772.0
2164,1982,1983,40,ACTRESS IN A SUPPORTING ROLE,Lainie Kazan,My Favorite Year,False,31044.0
2165,1982,1983,40,ACTRESS IN A SUPPORTING ROLE,Kim Stanley,Frances,False,3526.0
2166,1982,1983,40,ACTRESS IN A SUPPORTING ROLE,Lesley Ann Warren,Victor Victoria,False,12614.0
2167,1982,1983,40,ACTOR IN A SUPPORTING ROLE,Louis Gossett Jr.,"Officer and a Gentleman, An",True,2623.0
2168,1982,1983,40,ACTOR IN A SUPPORTING ROLE,Raul Julia,Tempest,False,48249.0
2169,1982,1983,40,ACTOR IN A SUPPORTING ROLE,David Keith,"Officer and a Gentleman, An",False,2623.0
2170,1982,1983,40,ACTOR IN A SUPPORTING ROLE,James Mason,"Verdict, The",False,24226.0
2171,1982,1983,40,ACTOR IN A SUPPORTING ROLE,Jim Metzler,Tex,False,27332.0
2172,1982,1983,40,DIRECTING,Richard Attenborough,Gandhi,True,783.0
2173,1982,1983,40,DIRECTING,Steven Spielberg,E. T. The Extra-Terrestrial,False,601.0
2174,1982,1983,40,DIRECTING,Constantin Costa-Gavras,Missing,False,15600.0
2175,1982,1983,40,DIRECTING,Sidney Lumet,"Verdict, The",False,24226.0
2176,1982,1983,40,DIRECTING,Sydney Pollack,Tootsie,False,9576.0
2177,1982,1983,40,BEST SCREENPLAY,John Briley,Gandhi,True,783.0
2178,1982,1983,40,BEST SCREENPLAY,David Mamet,"Verdict, The",False,24226.0
2179,1982,1983,40,BEST SCREENPLAY,Melissa Mathison,E. T. The Extra-Terrestrial,False,601.0
2180,1982,1983,40,BEST SCREENPLAY,Constantin Costa-Gavras,Missing,False,15600.0
2181,1982,1983,40,BEST SCREENPLAY,Larry Gelbart,Tootsie,False,9576.0
2182,1982,1983,40,FOREIGN,Gandhi,Gandhi,True,783.0
2183,1982,1983,40,FOREIGN,Fitzcarraldo,Fitzcarraldo,False,9343.0
2184,1982,1983,40,FOREIGN,The Man from Snowy River,The Man from Snowy River,False,24266.0
2185,1982,1983,40,FOREIGN,Quest For Fire,Quest For Fire,False,368421.0
2186,1982,1983,40,FOREIGN,La Traviata,La Traviata,False,48561.0
2187,1982,1983,40,FOREIGN,Yol,Yol,False,52556.0
2188,1982,1983,40,BEST SCORE,John Williams,E. T. The Extra-Terrestrial,True,601.0
2189,1982,1983,40,BEST SCORE,Vangelis Papathanassiou,Blade Runner,False,78.0
2190,1982,1983,40,BEST SCORE,Giorgio Moroder,Cat People,False,6217.0
2191,1982,1983,40,BEST SCORE,Dudley Moore,Six Weeks,False,77073.0
2192,1982,1983,40,BEST SCORE,Henry Mancini,Victor Victoria,False,12614.0
2193,1982,1983,40,BEST SONG,"Up Where We Belong, Jack Nitzsche, Buffy Sainte-Marie, Will Jennings","Officer and a Gentleman, An",True,2623.0
2194,1982,1983,40,BEST SONG,"Eye of the Tiger, Survivor, Jim Peterik, Frankie Sullivan III",Rocky III,False,1371.0
2195,1982,1983,40,BEST SONG,"If We Were In Love, John Williams, Alan Bergman, Marilyn Bergman","Yes, Giorgio",False,88451.0
2196,1982,1983,40,BEST SONG,"Making Love, Burt Bacharach, Bruce Roberts, Carole Bayer Sager",Making Love,False,41913.0
2197,1982,1983,40,BEST SONG,"Putting Out the Fire (Theme From Cat People), Giorgio Moroder, David Bowie",Cat People,False,6217.0
2198,1982,1983,40,SPECIAL AWARD,Laurence Olivier,,False,
2199,1983,1984,41,BEST PICTURE (DRAMA),Terms of Endearment,Terms of Endearment,True,11050.0
2200,1983,1984,41,BEST PICTURE (DRAMA),"Reuben, Reuben","Reuben, Reuben",False,31944.0
2201,1983,1984,41,BEST PICTURE (DRAMA),"Right Stuff, The","Right Stuff, The",False,9549.0
2202,1983,1984,41,BEST PICTURE (DRAMA),Silkwood,Silkwood,False,12502.0
2203,1983,1984,41,BEST PICTURE (DRAMA),Tender Mercies,Tender Mercies,False,42121.0
2204,1983,1984,41,BEST PICTURE (COM),Yentl,Yentl,True,10269.0
2205,1983,1984,41,BEST PICTURE (COM),"Big Chill, The","Big Chill, The",False,12560.0
2206,1983,1984,41,BEST PICTURE (COM),Flashdance,Flashdance,False,535.0
2207,1983,1984,41,BEST PICTURE (COM),Trading Places,Trading Places,False,1621.0
2208,1983,1984,41,BEST PICTURE (COM),Zelig,Zelig,False,11030.0
2209,1983,1984,41,ACTRESS (DRAMA),Shirley MacLaine,Terms of Endearment,True,11050.0
2210,1983,1984,41,ACTRESS (DRAMA),Debra Winger,Terms of Endearment,False,11050.0
2211,1983,1984,41,ACTRESS (DRAMA),Jane Alexander,Testament,False,21259.0
2212,1983,1984,41,ACTRESS (DRAMA),Bonnie Bedelia,Heart Like a Wheel,False,34599.0
2213,1983,1984,41,ACTRESS (DRAMA),Meryl Streep,Silkwood,False,12502.0
2214,1983,1984,41,ACTOR (DRAMA),Tom Courtenay,The Dresser,True,42122.0
2215,1983,1984,41,ACTOR (DRAMA),Robert Duvall,Tender Mercies,True,42121.0
2216,1983,1984,41,ACTOR (DRAMA),Tom Conti,"Reuben, Reuben",False,31944.0
2217,1983,1984,41,ACTOR (DRAMA),Richard Farnsworth,"Grey Fox, The",False,42136.0
2218,1983,1984,41,ACTOR (DRAMA),Albert Finney,The Dresser,False,42122.0
2219,1983,1984,41,ACTOR (DRAMA),Al Pacino,Scarface,False,111.0
2220,1983,1984,41,ACTOR (DRAMA),Eric Roberts,Star 80,False,30707.0
2221,1983,1984,41,ACTRESS (COM),Julie Walters,Educating Rita,True,38291.0
2222,1983,1984,41,ACTRESS (COM),Anne Bancroft,To Be or Not to Be,False,22998.0
2223,1983,1984,41,ACTRESS (COM),Jennifer Beals,Flashdance,False,535.0
2224,1983,1984,41,ACTRESS (COM),Linda Ronstadt,"Pirates of Penzance, The",False,15716.0
2225,1983,1984,41,ACTRESS (COM),Barbra Streisand,Yentl,False,10269.0
2226,1983,1984,41,ACTOR (COM),Michael Caine,Educating Rita,True,38291.0
2227,1983,1984,41,ACTOR (COM),Tom Cruise,Risky Business,False,9346.0
2228,1983,1984,41,ACTOR (COM),Eddie Murphy,Trading Places,False,1621.0
2229,1983,1984,41,ACTOR (COM),Mandy Patinkin,Yentl,False,10269.0
2230,1983,1984,41,ACTOR (COM),Woody Allen,Zelig,False,11030.0
2231,1983,1984,41,ACTRESS IN A SUPPORTING ROLE,Cher,Silkwood,True,12502.0
2232,1983,1984,41,ACTRESS IN A SUPPORTING ROLE,Barbara Carrera,Never Say Never Again,False,36670.0
2233,1983,1984,41,ACTRESS IN A SUPPORTING ROLE,Tess Harper,Tender Mercies,False,42121.0
2234,1983,1984,41,ACTRESS IN A SUPPORTING ROLE,Linda Hunt,"Year of Living Dangerously, The",False,11541.0
2235,1983,1984,41,ACTRESS IN A SUPPORTING ROLE,Joanna Pacula,Gorky Park,False,8289.0
2236,1983,1984,41,ACTOR IN A SUPPORTING ROLE,Jack Nicholson,Terms of Endearment,True,11050.0
2237,1983,1984,41,ACTOR IN A SUPPORTING ROLE,Charles Durning,To Be or Not to Be,False,22998.0
2238,1983,1984,41,ACTOR IN A SUPPORTING ROLE,Gene Hackman,Under Fire,False,12503.0
2239,1983,1984,41,ACTOR IN A SUPPORTING ROLE,Kurt Russell,Silkwood,False,12502.0
2240,1983,1984,41,ACTOR IN A SUPPORTING ROLE,Steven Bauer,Scarface,False,111.0
2241,1983,1984,41,DIRECTING,Barbra Streisand,Yentl,True,10269.0
2242,1983,1984,41,DIRECTING,Bruce Beresford,Tender Mercies,False,42121.0
2243,1983,1984,41,DIRECTING,Ingmar Bergman,Fanny & Alexander,False,5961.0
2244,1983,1984,41,DIRECTING,James L. Brooks,Terms of Endearment,False,11050.0
2245,1983,1984,41,DIRECTING,Mike Nichols,Silkwood,False,12502.0
2246,1983,1984,41,DIRECTING,Peter Yates,The Dresser,False,42122.0
2247,1983,1984,41,BEST SCREENPLAY,James L. Brooks,Terms of Endearment,True,11050.0
2248,1983,1984,41,BEST SCREENPLAY,Barbara Benedek,"Big Chill, The",False,12560.0
2249,1983,1984,41,BEST SCREENPLAY,Ronald Harwood,The Dresser,False,42122.0
2250,1983,1984,41,BEST SCREENPLAY,Willy Russell,Educating Rita,False,38291.0
2251,1983,1984,41,BEST SCREENPLAY,Julius J. Epstein,"Reuben, Reuben",False,31944.0
2252,1983,1984,41,FOREIGN,Fanny & Alexander,Fanny & Alexander,True,5961.0
2253,1983,1984,41,FOREIGN,Carmen,Carmen,False,42106.0
2254,1983,1984,41,FOREIGN,The Dresser,The Dresser,False,42122.0
2255,1983,1984,41,FOREIGN,Educating Rita,Educating Rita,False,38291.0
2256,1983,1984,41,FOREIGN,The Grey Fox,The Grey Fox,False,42136.0
2257,1983,1984,41,BEST SCORE,Giorgio Moroder,Flashdance,True,535.0
2258,1983,1984,41,BEST SCORE,Stewart Copeland,Rumble Fish,False,232.0
2259,1983,1984,41,BEST SCORE,Giorgio Moroder,Scarface,False,111.0
2260,1983,1984,41,BEST SCORE,Jerry Goldsmith,Under Fire,False,12503.0
2261,1983,1984,41,BEST SCORE,Michel Legrand,Yentl,False,10269.0
2262,1983,1984,41,BEST SONG,"Flashdance… What a Feeling, Giorgio Moroder, Keith Forsey, Irene Cara",Flashdance,True,535.0
2263,1983,1984,41,BEST SONG,"Far From Over, Frank Stallone, Vince DiCola",Staying Alive,False,10805.0
2264,1983,1984,41,BEST SONG,"Maniac, Michael Sembello, Dennis Matkosky",Flashdance,False,535.0
2265,1983,1984,41,BEST SONG,"Over You, Austin Roberts, Bobby Hart",Tender Mercies,False,42121.0
2266,1983,1984,41,BEST SONG,"The Way He Makes Me Feel, Michel Legrand, Alan Bergman, Marilyn Bergman",Yentl,False,10269.0
2267,1983,1984,41,SPECIAL AWARD,Paul Newman,,False,
2268,1984,1985,42,BEST PICTURE (DRAMA),Amadeus,Amadeus,True,279.0
2269,1984,1985,42,BEST PICTURE (DRAMA),"Killing Fields, The","Killing Fields, The",False,625.0
2270,1984,1985,42,BEST PICTURE (DRAMA),Places in the Heart,Places in the Heart,False,13681.0
2271,1984,1985,42,BEST PICTURE (DRAMA),"Soldier's Story, A","Soldier's Story, A",False,26522.0
2272,1984,1985,42,BEST PICTURE (DRAMA),"Cotton Club, The","Cotton Club, The",False,2148.0
2273,1984,1985,42,BEST PICTURE (COM),Romancing the Stone,Romancing the Stone,True,9326.0
2274,1984,1985,42,BEST PICTURE (COM),Beverly Hills Cop,Beverly Hills Cop,False,90.0
2275,1984,1985,42,BEST PICTURE (COM),Ghostbusters,Ghostbusters,False,620.0
2276,1984,1985,42,BEST PICTURE (COM),Micki & Maude,Micki & Maude,False,42094.0
2277,1984,1985,42,BEST PICTURE (COM),Splash,Splash,False,2619.0
2278,1984,1985,42,ACTRESS (DRAMA),Sally Field,Places in the Heart,True,13681.0
2279,1984,1985,42,ACTRESS (DRAMA),Diane Keaton,Mrs. Soffel,False,31955.0
2280,1984,1985,42,ACTRESS (DRAMA),Jessica Lange,Country,False,42087.0
2281,1984,1985,42,ACTRESS (DRAMA),Vanessa Redgrave,"Bostonians, The",False,40775.0
2282,1984,1985,42,ACTRESS (DRAMA),Sissy Spacek,"River, The",False,38557.0
2283,1984,1985,42,ACTOR (DRAMA),F. Murray Abraham,Amadeus,True,279.0
2284,1984,1985,42,ACTOR (DRAMA),Jeff Bridges,John Carpenter's Starman,False,9663.0
2285,1984,1985,42,ACTOR (DRAMA),Albert Finney,Under The Volcano,False,41089.0
2286,1984,1985,42,ACTOR (DRAMA),Tom Hulce,Amadeus,False,279.0
2287,1984,1985,42,ACTOR (DRAMA),Sam Waterston,"Killing Fields, The",False,625.0
2288,1984,1985,42,ACTRESS (COM),Kathleen Turner,Romancing the Stone,True,9326.0
2289,1984,1985,42,ACTRESS (COM),Lily Tomlin,All of Me,False,10631.0
2290,1984,1985,42,ACTRESS (COM),Anne Bancroft,Garbo Talks,False,105404.0
2291,1984,1985,42,ACTRESS (COM),Mia Farrow,Broadway Danny Rose,False,12762.0
2292,1984,1985,42,ACTRESS (COM),Shelley Long,Irreconcilable Differences,False,47874.0
2293,1984,1985,42,ACTOR (COM),Dudley Moore,Micki & Maude,True,42094.0
2294,1984,1985,42,ACTOR (COM),Steve Martin,All of Me,False,10631.0
2295,1984,1985,42,ACTOR (COM),Eddie Murphy,Beverly Hills Cop,False,90.0
2296,1984,1985,42,ACTOR (COM),Bill Murray,Ghostbusters,False,620.0
2297,1984,1985,42,ACTOR (COM),Robin Williams,Moscow on the Hudson,False,23111.0
2298,1984,1985,42,ACTRESS IN A SUPPORTING ROLE,Peggy Ashcroft,"Passage to India, A",True,15927.0
2299,1984,1985,42,ACTRESS IN A SUPPORTING ROLE,Christine Lahti,Swing Shift,False,18446.0
2300,1984,1985,42,ACTRESS IN A SUPPORTING ROLE,Lesley Ann Warren,Songwriter,False,69722.0
2301,1984,1985,42,ACTRESS IN A SUPPORTING ROLE,Drew Barrymore,Irreconcilable Differences,False,47874.0
2302,1984,1985,42,ACTRESS IN A SUPPORTING ROLE,Kim Basinger,"Natural, The",False,11393.0
2303,1984,1985,42,ACTRESS IN A SUPPORTING ROLE,Jacqueline Bisset,Under The Volcano,False,41089.0
2304,1984,1985,42,ACTRESS IN A SUPPORTING ROLE,Melanie Griffith,Body Double,False,11507.0
2305,1984,1985,42,ACTOR IN A SUPPORTING ROLE,Haing S. Ngor,"Killing Fields, The",True,625.0
2306,1984,1985,42,ACTOR IN A SUPPORTING ROLE,Adolph Caesar,"Soldier's Story, A",False,26522.0
2307,1984,1985,42,ACTOR IN A SUPPORTING ROLE,Richard Crenna,"Flamingo Kid, The",False,25010.0
2308,1984,1985,42,ACTOR IN A SUPPORTING ROLE,Jeffrey Jones,Amadeus,False,279.0
2309,1984,1985,42,ACTOR IN A SUPPORTING ROLE,Pat Morita,"Karate Kid, The",False,1885.0
2310,1984,1985,42,DIRECTING,Milos Forman,Amadeus,True,279.0
2311,1984,1985,42,DIRECTING,Francis Ford Coppola,"Cotton Club, The",False,2148.0
2312,1984,1985,42,DIRECTING,Roland Joffé,"Killing Fields, The",False,625.0
2313,1984,1985,42,DIRECTING,David Lean,"Passage to India, A",False,15927.0
2314,1984,1985,42,DIRECTING,Sergio Leone,Once Upon a Time in America,False,311.0
2315,1984,1985,42,BEST SCREENPLAY,Peter Shaffer,Amadeus,True,279.0
2316,1984,1985,42,BEST SCREENPLAY,Bruce Robinson,"Killing Fields, The",False,625.0
2317,1984,1985,42,BEST SCREENPLAY,David Lean,"Passage to India, A",False,15927.0
2318,1984,1985,42,BEST SCREENPLAY,Robert Benton,Places in the Heart,False,13681.0
2319,1984,1985,42,BEST SCREENPLAY,Charles Fuller,"Soldier's Story, A",False,26522.0
2320,1984,1985,42,FOREIGN,A Passage to India,A Passage to India,True,15927.0
2321,1984,1985,42,FOREIGN,Dangerous Moves,Dangerous Moves,False,46088.0
2322,1984,1985,42,FOREIGN,Paris Texas,Paris Texas,False,655.0
2323,1984,1985,42,FOREIGN,A Sunday in the Country,A Sunday in the Country,False,42102.0
2324,1984,1985,42,FOREIGN,Bizet's Carmen,Bizet's Carmen,False,21193.0
2325,1984,1985,42,BEST SCORE,Maurice Jarre,"Passage to India, A",True,15927.0
2326,1984,1985,42,BEST SCORE,Mike Oldfield,"Killing Fields, The",False,625.0
2327,1984,1985,42,BEST SCORE,Ennio Morricone,Once Upon a Time in America,False,311.0
2328,1984,1985,42,BEST SCORE,John Williams,"River, The",False,38557.0
2329,1984,1985,42,BEST SCORE,Jack Nitzsche,John Carpenter's Starman,False,9663.0
2330,1984,1985,42,BEST SONG,"I Just Called To Say I Love You, Stevie Wonder","Woman in Red, The",True,5968.0
2331,1984,1985,42,BEST SONG,"Against All Odds (Take a Look At Me Now), Phil Collins",Against All Odds,False,22160.0
2332,1984,1985,42,BEST SONG,"Footloose, Kenny Loggins, Dean Pitchford",Footloose,False,1788.0
2333,1984,1985,42,BEST SONG,"No More Lonely Nights, Paul McCartney",Give My Regards To Broad Street,False,34748.0
2334,1984,1985,42,BEST SONG,"Ghostbusters, Ray Parker Jr.",Ghostbusters,False,620.0
2335,1984,1985,42,SPECIAL AWARD,Elizabeth Taylor,,False,
2336,1985,1986,43,BEST PICTURE (DRAMA),Out of Africa,Out of Africa,True,606.0
2337,1985,1986,43,BEST PICTURE (DRAMA),"Color Purple, The","Color Purple, The",False,873.0
2338,1985,1986,43,BEST PICTURE (DRAMA),Kiss of the Spider Woman,Kiss of the Spider Woman,False,11703.0
2339,1985,1986,43,BEST PICTURE (DRAMA),Runaway Train,Runaway Train,False,11893.0
2340,1985,1986,43,BEST PICTURE (DRAMA),Witness,Witness,False,9281.0
2341,1985,1986,43,BEST PICTURE (COM),Prizzi's Honor,Prizzi's Honor,True,2075.0
2342,1985,1986,43,BEST PICTURE (COM),Back To The Future,Back To The Future,False,105.0
2343,1985,1986,43,BEST PICTURE (COM),"Chorus Line: The Movie, A","Chorus Line: The Movie, A",False,1816.0
2344,1985,1986,43,BEST PICTURE (COM),Cocoon,Cocoon,False,10328.0
2345,1985,1986,43,BEST PICTURE (COM),"Purple Rose of Cairo, The","Purple Rose of Cairo, The",False,10849.0
2346,1985,1986,43,ACTRESS (DRAMA),Whoopi Goldberg,"Color Purple, The",True,873.0
2347,1985,1986,43,ACTRESS (DRAMA),Meryl Streep,Out of Africa,False,606.0
